capital_input,capital_corrected
Washington DC,Washington
"Washington, DC",Washington
"Washington, D.C.",Washington
"Washington, D.C",Washington
Washington D.C.,Washington
Washington D.C,Washington
Brasilia,Brasília
Nuku alofa,Nuku'alofa
Nukualofa,Nuku'alofa
St Johns,St. John's
St. Johns,St. John's
St John's,St. John's
Saint Johns,St. John's
Saint John's,St. John's
Bogota,Bogotá
San Jose,San José
St. Georges,St. George's
St George's,St. George's
Saint Georges,St. George's
Saint George's,St. George's
Port au Prince,Port-au-Prince
Sao Tome,São Tomé
Yaounde,Yaoundé
Lome,Lomé
Male,Malé
Sanaa,Sana'a
Colombo,Sri Jayawardenepura Kotte
Porto Novo,Porto-Novo
Reykjavik,Reykjavík
Tarawa,Tarawa Atoll
St Georges,St. George's
Majuro Atoll,Majuro
NDjamena,N'Djamena
Delhi,New Delhi
Kotte,Sri Jayawardenepura Kotte
Kyiv,Kiev
Kyev,Kiev
